"time","Inf.Asintomaticos","Inf.Leves","Inf.Hosp","Inf.UCI","Total.infecciosos","Defunciones","Removidos","Defunciones_por_dia","Removidos_por_dia"
75,7674.61640232753,16443.8984996447,3162.96859676979,1581.65855312857,28863.1420518706,588.761136405695,16884.2393738599,48.1938200624369,1399.64172964712
76,8488.42363420841,18169.8122608561,3493.46947768141,1746.9021609583,31898.6075337042,641.968590116921,18430.6761823859,53.2074537112255,1546.43680852607
77,9395.78261163179,20093.0215232264,3861.6635171449,1930.99261597493,35281.4602679781,700.759775704353,20140.6702379065,58.7911855874327,1709.99405552059
78,10408.1197657924,22237.5039975222,4272.12285154644,2136.21597586674,39053.9625907277,765.773594475208,22033.0140683107,65.0138187708549,1892.34383040419
79,11538.3325458253,24630.3116056666,4730.00486126929,2365.15092073233,43263.7999334935,837.72672412602,24128.7961844449,71.9531296508118,2095.78211613423
80,12800.9818923146,27301.9723457872,5241.12863470901,2620.70698507218,47964.789857883,917.423536718424,26451.6947169202,79.6968125924035,2322.89853247522
81,14212.5108229023,30286.9468379005,5812.06184670519,2906.16799698905,53217.687504497,1005.76739217973,29028.311795324,88.3438554613018,2576.61707840387
82,15791.4881715949,33624.1380640459,6450.21780025172,3225.24059902814,59091.0846349206,1103.77336401535,31888.5503402434,98.005971835623,2860.23854491936
83,17558.8811701022,37357.4620750599,7163.96411625776,3582.10859304333,65662.4159544632,1212.58261266906,35066.0395986025,108.809248653715,3177.48925835914
84,19538.3587906412,41536.4842332578,7962.74397668846,3981.49356175368,73019.0805623412,1333.47863149871,38598.6160281304,120.896018829645,3532.57642952789
85,21756.6250964886,46217.1199323135,8857.20975374898,4428.72168332236,81259.6764658734,1467.9054514686,42528.8619874611,134.426819969889,3930.24595933063
86,24243.7864482689,51462.4088404019,9859.37081208381,4929.79763244341,90495.363733198,1617.48823865326,46904.7149453371,149.582787184662,4375.85295787609
87,27033.7436924739,57343.344950499,10982.7521675284,5491.48390970559,100851.324720207,1784.05603141052,51780.139533197,166.567792757262,4875.42458785984
88,30164.6257026701,63939.7984629601,12242.5709796136,6121.38908783255,112468.384233076,1969.66791153989,57215.9004153387,185.611880129365,5435.7608821417
89,33679.2196803095,71341.4390547116,13655.9138364536,6828.05645411587,125504.629025591,2176.64090332403,63280.3852173357,206.972991784149,6064.48480199703
90,37625.4361361824,79648.7395843755,15241.9298874488,7621.06057675541,140137.166184762,2407.58169738456,70050.5388398428,230.940794060521,6770.15362250712
91,42056.7559830573,88973.9583324547,17022.0209264151,8511.10234641381,156563.837588341,2665.42119405691,77612.8788732546,257.839496672358,7562.34003341172
92,47032.6520803039,99442.0848864755,19020.0256891589,9510.10112499362,175004.863780932,2953.45193440026,86064.5930414405,288.030740343351,8451.71416818595
93,52618.9609775524,111191.704161749,21262.3900532817,10631.2798455305,195704.335038114,3275.36848944585,95514.7194775238,321.916555045581,9450.12643608334
94,58888.153550707,124375.680744161,23778.3051393482,11889.2340627674,218931.373496984,3635.31040901668,106085.396376565,359.941919570831,10570.6768990413
95,65919.4582350598,139161.572342337,26599.7963454745,13299.9764704407,244980.803393312,4037.90690721084,117913.154555787,402.596498194165,11827.7581792218
96,73798.7760109012,155731.653658008,29761.7413088983,14880.9458820557,274173.116859863,4488.3224156648,131150.224550157,450.415508453962,13237.0699943705
97,82618.3118549365,174282.402790504,33301.7893044339,16650.9669301069,306853.470879981,4992.3017004445,145965.81644865,503.979284779698,14815.5918984927
98,92475.8260570057,195023.261054424,37260.1469721134,18630.14292989,343389.377013433,5556.21305466144,162547.324067492,563.911354216938,16581.507618842
99,103473.433515702,218174.513418447,41679.2012000598,20839.6673209316,384166.81545514,6187.08589978193,181101.342151495,630.872845120489,18554.0180840027
100,115715.879314426,243964.145542597,46602.9522752449,23301.5402423602,429584.517374628,6892.64171425794,201854.457829234,705.555814476008,20753.1156777387
101,129308.160512535,272623.41302709,52076.2074876495,26038.1653349797,480045.946362254,7681.31365221615,225053.676056865,788.671937958214,23199.2182276318
102,144352.568022814,304381.237000615,58143.5545682311,29071.8364602468,535949.196051907,8562.25155667596,250966.376692267,880.937904459815,25912.7006354021
103,160945.102487081,339457.320514192,64848.0943367939,32424.1040241988,597674.621362265,9545.308589111,279879.688841861,983.057032435034,28913.312149594
104,179171.439254921,378054.290415409,72229.9867719144,36115.0480124113,665570.764454655,10641.0060629981,312099.181607119,1095.69747388706,32219.4927652577
105,199102.650601314,420349.236603324,80324.8773202301,40162.4911446353,739939.255669503,11860.4738862022,347946.796858153,1219.46782320413,35847.6152510337
106,220791.047858608,466485.318573667,89162.3252916967,44581.213072421,821019.904796393,13215.3656295257,387758.003561351,1354.89174332355,39811.206703198
107,244266.592376937,516564.284842354,98764.3891955989,49382.243047118,908977.509462007,14717.7495918939,431878.228315916,1502.38396236816,44120.2247545648
108,269534.369246195,570640.848206321,109144.54248667,54572.3177929285,1003892.07773211,16379.9793048333,480658.682320504,1662.22971293942,48780.4540045888
109,296573.580529334,628719.819547643,120307.08762107,60153.5885348931,1105754.07623294,18214.5508604737,534451.829683607,1834.57155564041,53793.1473631021
110,325338.330080007,690756.569605329,132247.176151664,66123.6310465227,1214465.70688352,20233.9558281168,593606.781641552,2019.40496764305,59154.9519579457
111,355760.276987993,756661.030658074,144951.477660377,72475.7801159741,1329848.56542242,22450.5388861912,658464.910522261,2216.58305807445,64858.1288807084
112,387752.821771861,826304.700440032,158399.404708312,79199.7420211028,1451656.66894131,24876.3714424933,729356.038598487,2425.83255630209,70891.1280762265
113,421216.30037052,899529.726573131,172564.728998086,86282.402610627,1579593.15855237,27523.1482462318,806595.41573286,2646.7768037385,77239.3771343734
114,456043.651614056,976159.108534968,187417.414980603,93708.7441075089,1713328.91923714,30402.1108196289,890481.597955083,2878.96257339712,83886.1822222226
115,492126.251644836,1056007.46757203,202925.572419026,101462.821390939,1852522.11302683,33524.0029244194,981295.371117317,3121.89210479042,90813.7731622335
116,529360.207264554,1138892.90445198,219057.621726573,109528.844665229,1996839.57810833,36899.0574504479,1079299.69049243,3375.05452602851,98004.3193751116
117,567654.629218932,1224652.7790658,235785.190521538,117892.627737318,2145985.22654359,40537.0230959151,1184740.88893062,3637.96564546724,105441.198438191
118,606942.857797515,1313165.28473684,253087.087820643,126543.575113447,2299738.80546844,44447.2457837531,1297851.61158713,3910.22268783792,113110.722656516
119,647197.978970389,1404379.41482015,270954.837132661,135477.448545964,2458009.67946916,48638.8258921576,1418856.13801465,4191.58010840455,121004.526427514
120,688451.778306486,1498351.89623212,289399.518408607,144699.788008419,2620902.98095563,53120.8746292614,1547978.80428415,4482.04873710379,129122.666269505
121,730814.653668007,1595286.62546387,308459.112904165,154229.584126772,2788789.97616282,57902.8860101427,1685456.01305588,4782.01138088135,137477.208771727
122,774492.306672118,1695568.85955534,328204.938554207,164102.495866653,2962368.60064832,62995.2213750299,1831551.68026385,5092.33536488716,146095.667207964
123,819795.347622038,1799786.81230757,348745.824933346,174372.938013631,3142700.92287659,68409.6794097881,1986575.20162877,5414.45803475821,155023.521364922
124,867139.843999182,1908736.68381369,370229.284842997,185114.666966747,3331220.47962262,74160.1100462773,2150900.56673361,5750.43063648914,164325.365104841
125,917039.327687874,2023411.67689176,392839.759867101,196419.903516366,3529710.66796311,80263.0229521983,2324985.02634586,6102.91290592107,174084.459612248
126,970090.730870774,2144979.2292019,416794.690177946,208397.367747093,3740262.01799772,86738.149112482,2509385.99570781,6475.12616028363,184400.969361952
127,1026956.9727173,2274751.28688804,442339.274954084,221169.659246724,3965217.19380615,93608.9285402346,2704775.36282135,6870.77942775267,195389.367113537
128,1088347.77366725,2414150.44027,469740.430329556,234870.236080858,4207108.88034766,100902.906410746,2911950.68825681,7293.97787051162,207175.325435468
129,1154997.99670112,2564670.60526515,499279.702157432,249639.871174665,4468588.17529836,108652.025896082,3131842.9689813,7749.11948533622,219892.280724489
